,ZA,IA,ZB,IB,IO,PO,HIGH,CMP,CSELECT,FINAL
NOP-0x0,,,,,,,,,,0
MOV-0x1,,,x,,,,,,,4
MOV-0x2,,,x,,,,,,,4
MOV-0x3,,,x,,,,,,,4
MOV-0x4,,,x,,,,,,,4
MOV-0x5,,,x,,,,,,,4
MOV-0x6,,,x,,,,,,,4
MOV-0x7,,,x,,,,,,,4
MOV-0x8,,,x,,,,,,,4
MOV-0x9,,,x,,,,,,,4
MOV-0xA,,,x,,,,,,,4
MOV-0xB,,,x,,,,,,,4
MOV-0xC,,,x,,,,,,,4
MOV-0xD,,,x,,,,,,,4
MOV-0xE,,,x,,,,,,,4
MOV-0xF,,,x,,,,,,,4
CMP-0x10,,,x,,,,,,,4
CMP-0x11,,x,,,,x,,,,22
CMP-0x12,,x,,,,x,,,,22
CMP-0x13,,x,,,,x,,,,22
CMP-0x14,,x,,,,x,,,,22
CMP-0x15,,x,,,,x,,,,22
CMP-0x16,,x,,,,x,,,,22
CMP-0x17,,x,,,,x,,,,22
CMP-0x18,,x,,,,x,,,,22
CMP-0x19,,x,,,,x,,,,22
CMP-0x1A,,x,,,,x,,,,22
CMP-0x1B,,x,,,,x,,,,22
CMP-0x1C,,x,,,,x,,,,22
CMP-0x1D,,x,,,,x,,,,22
CMP-0x1E,,x,,,,x,,,,22
CMP-0x1F,,x,,,,x,,,,22
JMP-0x20,,x,,,,x,,,,22
JMP-0x21,,,,,,,,,,0
JMP-0x22,,,,,,,,,,0
JMP-0x23,,,,,,,,,,0
JMP-0x24,,,,,,,,,,0
JMP-0x25,,,,,,,,,,0
JMP-0x26,,,,,,,,,,0
JMP-0x27,,,,,,,,,,0
JMP-0x28,,,,,,,,,,0
JMP-0x29,,,,,,,,,,0
JMP-0x2A,,,,,,,,,,0
JMP-0x2B,,,,,,,,,,0
JMP-0x2C,,,,,,,,,,0
JMP-0x2D,,,,,,,,,,0
JMP-0x2E,,,,,,,,,,0
JMP-0x2F,,,,,,,,,,0
JMP-0x30,,,,,,,,,,0
JMP-0x31,,,,,,,,,,0
JMP-0x32,,,,,,,,,,0
JMP-0x33,,,,,,,,,,0
JMP-0x34,,,,,,,,,,0
JMP-0x35,,,,,,,,,,0
JMP-0x36,,,,,,,,,,0
JMP-0x37,,,,,,,,,,0
JMP-0x38,,,,,,,,,,0
JMP-0x39,,,,,,,,,,0
JMP-0x3A,,,,,,,,,,0
JMP-0x3B,,,,,,,,,,0
JMP-0x3C,,,,,,,,,,0
JMP-0x3D,,,,,,,,,,0
JMP-0x3E,,,,,,,,,,0
JMP-0x3F,,,,,,,,,,0
OPP-0x40,,,,,,,,x,,80
OPP-0x41,,,,,,,,x,,80
OPP-0x42,,,,,,,,x,,80
OPP-0x43,,,,,,,,x,,80
OPP-0x44,,,,,,,,x,,80
OPP-0x45,x,,x,,,,,x,,85
OPP-0x46,x,,x,,,x,,x,,A5
OPP-0x47,x,x,x,,x,x,,x,,B7
OPP-0x48,,,x,,,,,x,,84
OPP-0x49,,,x,,,,,x,,84
OPP-0x4A,,,x,,,,,x,,84
OPP-0x4B,,,x,,,,,x,,84
OPP-0x4C,,,x,,x,,,x,,94
OPP-0x4D,,,x,,x,,,x,,94
OPP-0x4E,,,x,,x,,,x,,94
OPP-0x4F,,,x,,x,,,x,,94
OPP-0x50,,x,x,,,x,,x,,A6
OPP-0x51,,x,x,,,x,,x,,A6
OPP-0x52,,x,x,,,x,,x,,A6
OPP-0x53,,x,x,,,x,,x,,A6
OPP-0x54,,,x,,,x,,x,,A4
OPP-0x55,,,x,,,x,,x,,A4
OPP-0x56,,,x,,,x,,x,,A4
OPP-0x57,,,x,,,x,,x,,A4
OPP-0x58,,x,x,,x,x,,x,,B6
OPP-0x59,,x,x,,x,x,,x,,B6
OPP-0x5A,,x,x,,x,x,,x,,B6
OPP-0x5B,,x,x,,x,x,,x,,B6
OPP-0x5C,,,,,,,,x,,80
OPP-0x5D,,,,,,,,x,,80
OPP-0x5E,,,,,,,,x,,80
OPP-0x5F,,,,,,,,x,,80
OPP-0x60,,,,,,,,x,,80
OPP-0x61,,,,,,,,x,,80
OPP-0x62,,,,,,,,x,,80
OPP-0x63,,,,,,,,x,,80
OPP-0x64,,,,,,,,x,,80
OPP-0x65,,,,,,,,x,,80
OPP-0x66,,,,,,,,x,,80
OPP-0x67,,,,,,,,x,,80
OPP-0x68,,,,x,,x,,x,,A8
OPP-0x69,,,,x,,x,,x,,A8
OPP-0x6A,,,,x,,x,,x,,A8
OPP-0x6B,,,,x,,x,,x,,A8
