,,IO,AO,BO,CO,DO,AO2,BO2,CO2,DO2,ROMO,RAMO,JMPO,OI,RAMI,MARI,MPAGEI,AI,BI,CI,DI,PCC,HALT,FIRST,CU VALUE,,,IO,AO,BO,CO,DO,AO2,BO2,CO2,DO2,ROMO,RAMO,JMPO,OI,RAMI,MARI,MPAGEI,AI,BI,CI,DI,PCC,HALT,FIRST,CU VALUE,,UNIQUE VALUES,,ASSEMBLER INST
NOP,NOP-0x0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,nop
MOV,MOV-0x1,,x,,,,,,,,,,,,,,,,x,,,,,20002,1C,,,,,,,,,,,,,,,,,,,,,,,,,,0,,10001,,mov a b
MOV,MOV-0x2,,x,,,,,,,,,,,,,,,,,x,,,,40002,2E,,,,,,,,,,,,,,,,,,,,,,,,,,0,,10002,,mov a c
MOV,MOV-0x3,,x,,,,,,,,,,,,,,,,,,x,,,80002,40,,,,,,,,,,,,,,,,,,,,,,,,,,0,,10004,,mov a d
MOV,MOV-0x4,,,x,,,,,,,,,,,,,,x,,,,,,10004,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,10008,,mov b a
MOV,MOV-0x5,,,x,,,,,,,,,,,,,,,,x,,,,40004,2F,,,,,,,,,,,,,,,,,,,,,,,,,,0,,10010,,mov b c
MOV,MOV-0x6,,,x,,,,,,,,,,,,,,,,,x,,,80004,41,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1002,,mov b d
MOV,MOV-0x7,,,,x,,,,,,,,,,,,,x,,,,,,10008,4,,,,,,,,,,,,,,,,,,,,,,,,,,0,,100200,,mov c a
MOV,MOV-0x8,,,,x,,,,,,,,,,,,,,x,,,,,20008,1E,,,,,,,,,,,,,,,,,,,,,,,,,,0,,10022,,mov c b
MOV,MOV-0x9,,,,x,,,,,,,,,,,,,,,,x,,,80008,42,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1004,,mov c d
MOV,MOV-0xA,,,,,x,,,,,,,,,,,,x,,,,,,10010,5,,,,,,,,,,,,,,,,,,,,,,,,,,0,,10042,,mov d a
MOV,MOV-0xB,,,,,x,,,,,,,,,,,,,x,,,,,20010,1F,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1008,,mov d b
MOV,MOV-0xC,,,,,x,,,,,,,,,,,,,,x,,,,40010,31,,,,,,,,,,,,,,,,,,,,,,,,,,0,,10082,,mov d c
MOV,MOV-0xD,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,100A00,,
MOV,MOV-0xE,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1010,,
MOV,MOV-0xF,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,10102,,
CMP,CMP-0x10,,x,,,,x,,,,,,,,,,,,,,,,,22,29,,,,,,,,,,,,,,,,,,,,,,,,,,0,,102,,cmp a a
CMP,CMP-0x11,,x,,,,,x,,,,,,,,,,,,,,,,42,3B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,104,,cmp a b
